state	black_population	black_positive_cases	black_deaths	hispanic_population	hispanic_positive_cases	hispanic_deaths	asian_population	asian_positive_cases	asian_deaths	indian_population	indian_positive_cases	indian_deaths	hawaiian_pop	hawaiian_positive_cases	hawaiian_deaths	multiple_population	multiple_positive cases	multiple_deaths	white_population	white_positive_cases	white_deaths
new hampshire	1.70%	5.64%	0.00%	3.90%	6.75%	7.50%	3.00%	3.21%	0.00%		0.00%	0.00%	z	0.00%	0.00%	1.80%	0.00%	0.00%	90.00%	79.02%	90.00%
new jersey	15.00%	-	21.99%	20.60%	-	17.21%	10.00%	-	5.38%	0.60%	-	0.00%	10.00%	-	0.00%	2.30%	-	0.00%	54.90%	-	49.30%
new mexico	2.60%	2.94%	-	49.10%	21.91%	-	1.80%	1.30%	-	10.90%	56.57%	-	20.00%	0.00%	-	2.60%	0.00%	-	37.10%	17.28%	-
new york	17.60%	-	24.44%	19.20%	-	26.82%	9.00%	-	6.04%	1.00%	-	0.00%	10.00%	-	0.00%	2.60%	-	0.00%	55.40%	-	38.56%
north carolina	22.20%	38.56%	35.14%	9.60%	0.00%	0.00%	3.20%	1.99%	0.90%	1.60%	0.67%	0.30%	0.10%	0.23%	0.30%	2.30%	0.00%	0.00%	62.80%	52.05%	60.96%
north dakota	3.40%	-	-	3.90%	-	-	1.80%	-	-	5.50%	-	-	0.10%	-	-	2.20%	-	-	84.00%	-	-
ohio	13.00%	27.53%	17.67%	3.90%	0.00%	0.00%	2.50%	1.62%	0.35%	0.30%	0.09%	0.00%	0.10%	0.09%	0.00%	2.30%	5.24%	1.98%	78.70%	58.25%	79.30%
oklahoma	7.80%	6.86%	9.71%	10.90%	0.00%	0.00%	2.30%	2.26%	0.97%	9.30%	7.96%	8.25%	0.20%	0.00%	0.00%	6.20%	4.04%	2.43%	65.30%	78.87%	78.64%
oregon	2.20%	2.79%	-	13.30%	0.00%	-	4.80%	3.85%	-	1.80%	1.39%	-	0.50%	1.25%	-	3.90%	2.45%	-	75.30%	61.54%	-
pennsylvania	12.00%	31.22%	20.92%	7.60%	0.00%	0.00%	3.70%	3.21%	2.50%		0.00%	0.00%	0.40%	0.00%	0.00%	2.10%	0.00%	0.00%	76.10%	64.17%	75.91%
puerto rico	n/a	-	-	n/a	-	-	n/a	-	-	n/a	-	-	n/a	-	-	n/a	-	-	n/a	-	-
rhode island	8.40 %	13.13%	6.12%	15.90%	43.44%	12.24%	3.60%	0.00%	0.00%	1.10%	0.00%	0.00%	0.20%	0.00%	0.00%	2.80%	0.00%	0.00%	72.00%	39.40%	81.63%
south carolina	27.10%	43.44%	43.58%	5.80%	6.06%	0.00%	1.80%	0.00%	0.00%	0.50%	2.02%	0.00%	0.10%	0.00%	0.56%	1.90%	0.00%	0.00%	63.70%	45.46%	55.31%
south dakota	2.40%	-	-	4.10%	-	-	1.70%	-	-	9.00%	-	-	0.10%	-	-	2.40%	-	-	81.40%	-	-
tennessee	17.10%	28.69%	30.48%	5.60%	0.00%	0.00%	1.90%	3.18%	2.67%	50.00%	0.00%	0.00%	0.10%	0.00%	0.00%	2.00%	0.00%	0.00%	73.70%	58.96%	64.17%
texas	12.80%	20.69%	9.18%	39.60%	34.44%	11.78%	5.20%	4.71%	0.80%	1.00%	0.00%	0.00%	0.10%	0.00%	0.00%	2.00%	0.00%	0.00%	41.50%	39.21%	24.35%
utah	1.40%	2.29%	-	14.20%	36.48%	-	2.70%	2.65%	-	1.50%	1.35%	-	z	2.22%	-	2.60%	0.00%	-	78.00%	44.70%	-
vermont	1.40%	1.91%	0.00%	2.00%	2.17%	0.00%	2.00%	1.27%	4.26%	0.40%	0.13%	0.00%	z	0.00%	0.00%	2.00%	0.00%	0.00%	92.50%	94.65%	89.36%
virgin islands		-	-		-	-		-	-		-	-		-	-		-	-		-	-
virginia	19.90%	26.77%	29.52%	9.60%	0.00%	0.00%	6.90%	0.00%	0.00%	0.50%	0.00%	0.00%	0.10%	0.00%	0.00%	3.10%	0.00%	0.00%	61.50%	49.99%	59.69%
washington	4.30%	7.08%	3.23%	12.90%	29.95%	7.31%	9.30%	9.71%	9.70%	1.90%	1.29%	0.98%	0.80%	1.79%	0.56%	4.80%	0.01%	1.27%	68.00%	48.18%	74.68%
west virginia	3.60%	7.78%	-	1.70%	0.00%	-	0.80%	0.00%	-	0.30%	0.00%	-	z	0.00%	-	1.80%	0.00%	-	92.10%	81.74%	-
wisconsin	6.70%	26.60%	33.67%	6.90%	0.00%	0.00%	3.00%	3.60%	1.67%	1.20%	1.07%	1.33%	0.10%	0.00%	0.00%	2.00%	0.00%	0.00%	81.10%	60.49%	62.33%
wyoming	1.30%	1.04%	-	10.10%	15.10%	-	1.10%	1.04%	-	2.70%	18.49%	-	0.10%	0.00%	-	2.20%	0.00%	-	83.80%	60.68%	-
